N,bandwidth,r,r_frac_rayleigh,rayleigh_distance,gain_loss_conventional_db,gain_loss_nearfield_db,gain_loss_squint_db
16,4000000000.0,24.090465375,20.0,1.20452326875,0.19079603761071973,0.19064978081911677,0.0001481023771464602
32,10000000.0,0.10289305433500001,0.02,5.1446527167500005,12.627362342131772,3.5572121106936523e-06,12.62736366230918
32,10000000.0,0.25723263583750006,0.05,5.1446527167500005,9.401160557281777,4.434627297991094e-06,9.401161756154252
32,10000000.0,0.5144652716750001,0.1,5.1446527167500005,5.636327506492577,4.717636208457575e-06,5.636325537379295
32,10000000.0,1.0289305433500002,0.2,5.1446527167500005,1.3423214842997355,4.799162852083489e-06,1.3423171396532274
32,10000000.0,2.5723263583750002,0.5,5.1446527167500005,0.2107601119608138,4.822845939857506e-06,0.21075535592146158
32,10000000.0,5.1446527167500005,1.0,5.1446527167500005,0.05254779478307803,4.826260604193998e-06,0.05254298504223858
32,10000000.0,10.289305433500001,2.0,5.1446527167500005,0.013131438628915398,4.827115498829529e-06,0.01312661563224959
32,10000000.0,25.723263583750004,5.0,5.1446527167500005,0.002104675990678582,4.827354960359858e-06,0.002099849294237384
32,10000000.0,51.44652716750001,10.0,5.1446527167500005,0.0005297749322688961,4.827389172731689e-06,0.0005249477077072786
32,10000000.0,102.89305433500002,20.0,5.1446527167500005,0.0001360633699822223,4.827397725342482e-06,0.00013123601340818964
32,100000000.0,0.10289305433500001,0.02,5.1446527167500005,12.627362900917873,0.00035570450578944427,12.62749491560941
32,100000000.0,0.25723263583750006,0.05,5.1446527167500005,9.40106272314425,0.0004434494049767857,9.401182601526198
32,100000000.0,0.5144652716750001,0.1,5.1446527167500005,5.636510679059198,0.00047175150968629855,5.636313792484228
32,100000000.0,1.0289305433500002,0.2,5.1446527167500005,1.3427522797973896,0.00047990453659588564,1.3423178307737103
32,100000000.0,2.5723263583750002,0.5,5.1446527167500005,0.21123116420963758,0.00048227295176907095,0.21075557252319094
32,100000000.0,5.1446527167500005,1.0,5.1446527167500005,0.053024004881268696,0.0004826144333858917,0.0525430425751194
32,100000000.0,10.289305433500001,2.0,5.1446527167500005,0.013608918229111509,0.0004826999271128105,0.013126630223212669
32,100000000.0,25.723263583750004,5.0,5.1446527167500005,0.002582509654324442,0.00048272387420538994,0.0020998516380531696
32,100000000.0,51.44652716750001,10.0,5.1446527167500005,0.001007659126813274,0.00048272729553473136,0.0005249482939986162
32,100000000.0,102.89305433500002,20.0,5.1446527167500005,0.0006139601953059911,0.0004827281508820117,0.00013123615999310689
32,400000000.0,0.10289305433500001,0.02,5.1446527167500005,12.627370131056992,0.005687222280973398,12.629481624952575
32,400000000.0,0.25723263583750006,0.05,5.1446527167500005,9.399582456623758,0.007091959070834321,9.401498363016842
32,400000000.0,0.5144652716750001,0.1,5.1446527167500005,5.639280036667148,0.007545086871012623,5.636135847829772
32,400000000.0,1.0289305433500002,0.2,5.1446527167500005,1.3492756973222013,0.007675623151744151,1.3423283022888077
32,400000000.0,2.5723263583750002,0.5,5.1446527167500005,0.21836535068358728,0.007713543575130463,0.21075885436686967
32,400000000.0,5.1446527167500005,1.0,5.1446527167500005,0.06023645464560749,0.007719011007736883,0.052543914285501966
32,400000000.0,10.289305433500001,2.0,5.1446527167500005,0.02084063125579854,0.007720379840833371,0.013126851298417251
32,400000000.0,25.723263583750004,5.0,5.1446527167500005,0.009819595216661807,0.007720763255812052,0.0020998871504659495
32,400000000.0,51.44652716750001,10.0,5.1446527167500005,0.008245511442410374,0.007720818034467015,0.0005249571771136772
32,400000000.0,102.89305433500002,20.0,5.1446527167500005,0.007852004169852144,0.007720831729286832,0.00013123838109229977
32,1000000000.0,0.10289305433500001,0.02,5.1446527167500005,12.627368218836754,0.035403383134203,12.640538710049295
32,1000000000.0,0.25723263583750006,0.05,5.1446527167500005,9.391364359044633,0.044211397923888396,9.403263940889095
32,1000000000.0,0.5144652716750001,0.1,5.1446527167500005,5.654581907875764,0.0470537144674838,5.6351396454959
32,1000000000.0,1.0289305433500002,0.2,5.1446527167500005,1.385675327695754,0.04787263631919529,1.3423869425137516
32,1000000000.0,2.5723263583750002,0.5,5.1446527167500005,0.2582135874758112,0.04811054017298086,0.21077723266428922
32,1000000000.0,5.1446527167500005,1.0,5.1446527167500005,0.10052691599476904,0.04814484191119946,0.05254879586185052
32,1000000000.0,10.289305433500001,2.0,5.1446527167500005,0.06123995004248649,0.04815342974990114,0.01312808931943377
32,1000000000.0,25.723263583750004,5.0,5.1446527167500005,0.050249275172444804,0.04815583523481956,0.002100086019999333
32,1000000000.0,51.44652716750001,10.0,5.1446527167500005,0.048679524486213425,0.04815617890732483,0.0005250069225322281
32,1000000000.0,102.89305433500002,20.0,5.1446527167500005,0.048287100321036835,0.048156264826691,0.0001312508192003155
32,2000000000.0,0.10289305433500001,0.02,5.1446527167500005,12.626799255233907,0.13958830408876075,12.679082983913785
32,2000000000.0,0.25723263583750006,0.05,5.1446527167500005,9.362984675433875,0.17521300158841194,9.40953235160124
32,2000000000.0,0.5144652716750001,0.1,5.1446527167500005,5.7064239074903655,0.18672739374765746,5.631585761615449
32,2000000000.0,1.0289305433500002,0.2,5.1446527167500005,1.5138413211723742,0.1900466578191886,1.3425963682921649
32,2000000000.0,2.5723263583750002,0.5,5.1446527167500005,0.3990841190127595,0.1910110790758734,0.21084286906406374
32,2000000000.0,5.1446527167500005,1.0,5.1446527167500005,0.24303126668851893,0.19115013784044915,0.05256623003855139
32,2000000000.0,10.289305433500001,2.0,5.1446527167500005,0.2041466379187651,0.19118495303171634,0.013132510821554368
32,2000000000.0,25.723263583750004,5.0,5.1446527167500005,0.19326818904165943,0.1911947049089932,0.0021007962682761303
32,2000000000.0,51.44652716750001,10.0,5.1446527167500005,0.1917144554284056,0.1911960981637934,0.0005251845847793877
32,2000000000.0,102.89305433500002,20.0,5.1446527167500005,0.1913260349381447,0.19119644648256728,0.00013129524102084122
32,4000000000.0,0.10289305433500001,0.02,5.1446527167500005,12.617202157198907,0.5260793226912379,12.818734630729413
32,4000000000.0,0.25723263583750006,0.05,5.1446527167500005,9.26355947293428,0.6739825308202102,9.434023838326294
32,4000000000.0,0.5144652716750001,0.1,5.1446527167500005,5.873379390269076,0.7222441509310245,5.6174321738386706
32,4000000000.0,1.0289305433500002,0.2,5.1446527167500005,1.9973180450521133,0.7361948701170218,1.343434015206115
32,4000000000.0,2.5723263583750002,0.5,5.1446527167500005,0.9391389683080567,0.7402514441094199,0.2111054087767188
32,4000000000.0,5.1446527167500005,1.0,5.1446527167500005,0.7904476295255671,0.7408364733793491,0.05263596636168742
32,4000000000.0,10.289305433500001,2.0,5.1446527167500005,0.7533787563730926,0.7409829477508041,0.0131501968058607
32,4000000000.0,25.723263583750004,5.0,5.1446527167500005,0.7430069921383665,0.7410239761502525,0.0021036372607952727
32,4000000000.0,51.44652716750001,10.0,5.1446527167500005,0.7415255807054,0.7410298379068163,0.0005258952337136675
32,4000000000.0,102.89305433500002,20.0,5.1446527167500005,0.741155238366999,0.7410313033673259,0.0001314729283022576
64,10000000.0,0.42495580921500004,0.02,21.24779046075,12.770013116755372,1.7165673347342276e-05,12.770007507946776
64,10000000.0,1.0623895230375,0.05,21.24779046075,9.428267934845103,1.89099450746057e-05,9.428267279198693
64,10000000.0,2.124779046075,0.1,21.24779046075,5.296021088933608,1.9217470087453128e-05,5.296012784538457
64,10000000.0,4.24955809215,0.2,21.24779046075,1.260150057896169,1.9296995413066748e-05,1.2601325317191021
64,10000000.0,10.623895230375,0.5,21.24779046075,0.19822387346913567,1.9319456736177527e-05,0.1982048091672211
64,10000000.0,21.24779046075,1.0,21.24779046075,0.04944784764730258,1.9322672473352857e-05,0.049428587858679825
64,10000000.0,42.4955809215,2.0,21.24779046075,0.01236879141521943,1.93234766803087e-05,0.012349483603865147
64,10000000.0,106.23895230375,5.0,21.24779046075,0.00199489526598502,1.93237018806286e-05,0.0019755740680734895
64,10000000.0,212.4779046075,10.0,21.24779046075,0.0005132043641932671,1.9323734051414072e-05,0.0004938812560465669
64,10000000.0,424.955809215,20.0,21.24779046075,0.00014279313339046564,1.9323742095798008e-05,0.00012346954776722632
64,100000000.0,0.42495580921500004,0.02,21.24779046075,12.770659332776194,0.0017163438067278978,12.770098654582615
64,100000000.0,1.0623895230375,0.05,21.24779046075,9.428348528594869,0.0018908006268741674,9.428283038300796
64,100000000.0,2.124779046075,0.1,21.24779046075,5.29683313236999,0.0019215586282850176,5.296003104469115
64,100000000.0,4.24955809215,0.2,21.24779046075,1.261885599845718,0.0019295125960829976,1.2601332287465632
64,100000000.0,10.623895230375,0.5,21.24779046075,0.2001112484828418,0.001931759134788984,0.19820501398960305
64,100000000.0,21.24779046075,1.0,21.24779046075,0.05135443218411155,0.0019320807670148575,0.049428642077126564
64,100000000.0,42.4955809215,2.0,21.24779046075,0.014280091445880714,0.0019321612023859348,0.01234949734390587
64,100000000.0,106.23895230375,5.0,21.24779046075,0.003907509513181316,0.001932183726241541,0.0019755762747506165
64,100000000.0,212.4779046075,10.0,21.24779046075,0.0024260061389204737,0.0019321869439960528,0.0004938818080188369
64,100000000.0,424.955809215,20.0,21.24779046075,0.0020556417815863516,0.0019321877485303472,0.00012346968577881394
64,400000000.0,0.42495580921500004,0.02,21.24779046075,12.780400409565315,0.027407245496351672,12.771478634517914
64,400000000.0,1.0623895230375,0.05,21.24779046075,9.42955170598936,0.030205727694195602,9.428521740466136
64,400000000.0,2.124779046075,0.1,21.24779046075,5.309037365674449,0.030699187750982813,5.295856442901773
64,400000000.0,4.24955809215,0.2,21.24779046075,1.2881218811918558,0.03082679895852216,1.2601437897594359
64,400000000.0,10.623895230375,0.5,21.24779046075,0.22866034626393386,0.03086284203174261,0.1982081173582975
64,400000000.0,21.24779046075,1.0,21.24779046075,0.08019626413658953,0.03086800225160658,0.049429463569018624
64,400000000.0,42.4955809215,2.0,21.24779046075,0.04319378711018513,0.03086929274509318,0.012349705526234734
64,400000000.0,106.23895230375,5.0,21.24779046075,0.03284123402044919,0.03086965411472302,0.0019756097092640513
64,400000000.0,212.4779046075,10.0,21.24779046075,0.03136258860235005,0.03086970574003154,0.0004938901711263191
64,400000000.0,424.955809215,20.0,21.24779046075,0.030992938605060985,0.030869718646568747,0.00012347177682104518
64,1000000000.0,0.42495580921500004,0.02,21.24779046075,12.833226612265555,0.16938230052975495,12.779170867721357
64,1000000000.0,1.0623895230375,0.05,21.24779046075,9.435698001094408,0.1871206445122141,9.429855972524635
64,1000000000.0,2.124779046075,0.1,21.24779046075,5.373990564260195,0.19025108385631673,5.295035351288787
64,1000000000.0,4.24955809215,0.2,21.24779046075,1.432958391867004,0.19106075665399583,1.2602029311264467
64,1000000000.0,10.623895230375,0.5,21.24779046075,0.38687135326396016,0.19128945354819743,0.1982254961986169
64,1000000000.0,21.24779046075,1.0,21.24779046075,0.24010454853350943,0.19132219599405154,0.04943406392186972
64,1000000000.0,42.4955809215,2.0,21.24779046075,0.2035188930623166,0.1913303844013625,0.012350871347150802
64,1000000000.0,106.23895230375,5.0,21.24779046075,0.19328252148496405,0.19133267735578538,0.0019757969426783435
64,1000000000.0,212.4779046075,10.0,21.24779046075,0.19182045462864772,0.19133300492783067,0.000493937004524258
64,1000000000.0,424.955809215,20.0,21.24779046075,0.19145494853838663,0.19133308682134959,0.00012348348674758717
64,2000000000.0,0.42495580921500004,0.02,21.24779046075,12.998771285441194,0.6495234241171988,12.80615183616095
64,2000000000.0,1.0623895230375,0.05,21.24779046075,9.450982033481655,0.7238056283017179,9.434586458972317
64,2000000000.0,2.124779046075,0.1,21.24779046075,5.562382906174294,0.7369661761798179,5.292105831430663
64,2000000000.0,4.24955809215,0.2,21.24779046075,1.9207337018233004,0.7403725232787838,1.2604141460686908
64,2000000000.0,10.623895230375,0.5,21.24779046075,0.9279754906742739,0.7413348467847616,0.19828756314792045
64,2000000000.0,21.24779046075,1.0,21.24779046075,0.7880491629242786,0.7414726287689264,0.04945049373144112
64,2000000000.0,42.4955809215,2.0,21.24779046075,0.7531459578390903,0.741507086284423,0.012355034991903258
64,2000000000.0,106.23895230375,5.0,21.24779046075,0.7433787185706855,0.7415167352502543,0.0019764656333412884
64,2000000000.0,212.4779046075,10.0,21.24779046075,0.7419836010986007,0.7415181137051584,0.0004941042666629316
64,2000000000.0,424.955809215,20.0,21.24779046075,0.7416348296409941,0.7415184583199042,0.00012352530787346352
64,4000000000.0,0.42495580921500004,0.02,21.24779046075,13.359597664060587,2.135803817853084,12.906568168070017
64,4000000000.0,1.0623895230375,0.05,21.24779046075,9.470097147262459,2.466550694177449,9.452967693993442
64,4000000000.0,2.124779046075,0.1,21.24779046075,5.853932557987634,2.5266680097515177,5.2804336793482545
64,4000000000.0,4.24955809215,0.2,21.24779046075,3.4077365216244218,2.542300736228565,1.2612589398067264
64,4000000000.0,10.623895230375,0.5,21.24779046075,2.685605369581526,2.546722512380268,0.19853582567108452
64,4000000000.0,21.24779046075,1.0,21.24779046075,2.5820834411485953,2.547355800497587,0.04951621262616704
64,4000000000.0,42.4955809215,2.0,21.24779046075,2.556196456715654,2.547514185376871,0.012371689549281206
64,4000000000.0,106.23895230375,5.0,21.24779046075,2.548947716430185,2.547558537649234,0.001979140395476261
64,4000000000.0,212.4779046075,10.0,21.24779046075,2.5479121690875965,2.54756487385084,0.0004947733151676707
64,4000000000.0,424.955809215,20.0,21.24779046075,2.547653281748457,2.5475664579054613,0.0001236925923700488
128,10000000.0,1.726911626815,0.02,86.34558134075,13.852204347463745,7.484714286845246e-05,13.852211579390744
128,10000000.0,4.3172790670375,0.05,86.34558134075,9.513616898808566,7.68966691188852e-05,9.513610616242186
128,10000000.0,8.634558134075,0.1,86.34558134075,5.128807111551026,7.720516982863917e-05,5.128772364428476
128,10000000.0,17.26911626815,0.2,86.34558134075,1.2208840540788923,7.728293188091335e-05,1.2208136805730918
128,10000000.0,43.172790670375,0.5,86.34558134075,0.1922281236425966,7.73047511778015e-05,0.19215181173615276
128,10000000.0,86.34558134075,1.0,86.34558134075,0.048001279167136104,7.730786985953264e-05,0.0479242158576896
128,10000000.0,172.6911626815,2.0,86.34558134075,0.012051195856695028,7.730864959794897e-05,0.011973948122412648
